path,method,uncompressed_size,compressed_size,data_offset
ABBS.info,-lh5-,1233,779,36
ABBS/ABBS-Icon,-lh5-,1233,779,864
ABBS/ABBS.info,-lh5-,931,412,1692
ABBS/ABBS.readme,-lh5-,750,457,2155
ABBS/arkiv/xprym190.lzh,-lh0-,12874,12874,2670
ABBS/arkiv/xprzmodem.lzh,-lh0-,74876,74876,15603
ABBS/Bulletins/days1,-lh5-,413,205,90534
ABBS/Bulletins/News1,-lh5-,222,120,90794
ABBS/Bulletins/newsbl,-lh0-,52,52,90970
ABBS/c/installer,-lh5-,109956,60618,91073
ABBS/Catalogs/norsk/FE.catalog,-lh5-,5696,2393,151756
ABBS/Conferences/FILEINFO.h,-lh0-,0,0,154211
ABBS/Conferences/FILEINFO.m,-lh0-,0,0,154273
ABBS/Conferences/NEWS.h,-lh0-,0,0,154331
ABBS/Conferences/NEWS.m,-lh0-,0,0,154389
ABBS/Conferences/POST.h,-lh0-,0,0,154447
ABBS/Conferences/POST.m,-lh0-,0,0,154505
ABBS/Conferences/USERINFO.h,-lh0-,0,0,154567
ABBS/Conferences/USERINFO.m,-lh0-,0,0,154629
ABBS/Config/abbs.keys,-lh5-,185,133,154685
ABBS/Config/banfile,-lh5-,328,205,154872
ABBS/Config/colorfile,-lh0-,20,20,155133
ABBS/Config/filebanfile,-lh5-,264,169,155211
ABBS/Config/node1.config,-lh5-,476,155,155439
ABBS/Config/startup.config,-lh5-,278,180,155655
ABBS/Docs.info,-lh5-,1233,817,155884
ABBS/Docs/ABBS.doc,-lh5-,15871,5675,156754
ABBS/Docs/ABBS.doc.info,-lh5-,1437,548,162487
ABBS/Docs/ABBS.guide,-lh5-,160780,53793,163090
ABBS/Docs/ABBS.guide.info,-lh5-,1437,543,216943
ABBS/Docs/abbsrexx.doc,-lh5-,18873,4621,217543
ABBS/Docs/abbsrexx.doc.info,-lh5-,1437,541,222226
ABBS/Docs/abbsrexx.guide,-lh5-,5651,1864,222826
ABBS/Docs/abbsusers.doc,-lh5-,258,181,224748
ABBS/Docs/abbsusers.doc.info,-lh5-,1437,542,224992
ABBS/Docs/AddFile.doc,-lh5-,2013,992,225590
ABBS/Docs/AddFile.doc.info,-lh5-,1437,544,226643
ABBS/Docs/AddMsg.doc,-lh5-,685,353,227242
ABBS/Docs/AddMsg.doc.info,-lh5-,1437,544,227655
ABBS/Docs/Broadcast.doc,-lh5-,372,237,228257
ABBS/Docs/Broadcast.doc.info,-lh5-,1437,543,228557
ABBS/Docs/checkconferences.doc,-lh5-,704,393,229165
ABBS/Docs/checkconferences.doc.info,-lh5-,1437,543,229628
ABBS/Docs/ConfigBBS.doc,-lh5-,7819,2917,230229
ABBS/Docs/ConfigBBS.doc.info,-lh5-,1437,544,233209
ABBS/Docs/ConfigNode.doc,-lh5-,12361,4408,233812
ABBS/Docs/ConfigNode.doc.info,-lh5-,1437,544,238284
ABBS/Docs/Doors.doc,-lh5-,2625,1276,238882
ABBS/Docs/Doors.doc.info,-lh5-,1437,544,240217
ABBS/Docs/FileCache.doc,-lh5-,381,226,240819
ABBS/Docs/FileCache.doc.info,-lh5-,1437,546,241108
ABBS/Docs/flextractor.doc,-lh5-,2449,1046,241714
ABBS/Docs/flextractor.doc.info,-lh5-,1437,545,242825
ABBS/Docs/flmaker.doc,-lh5-,2059,704,243426
ABBS/Docs/Installation.doc,-lh5-,3243,1351,244191
ABBS/Docs/Installation.doc.info,-lh5-,1437,544,245608
ABBS/Docs/ListFiles.doc.info,-lh5-,1437,546,246215
ABBS/Docs/MiscMenu.doc,-lh5-,907,455,246818
ABBS/Docs/MiscMenu.doc.info,-lh5-,1437,544,247335
ABBS/Docs/scripts.doc,-lh5-,950,361,247935
ABBS/Docs/scripts.doc.info,-lh5-,1437,541,248357
ABBS/Docs/SysopAvail.doc,-lh5-,171,114,248957
ABBS/Docs/SysopAvail.doc.info,-lh5-,1437,547,249135
ABBS/Docs/ToggleCache.doc,-lh5-,381,226,249742
ABBS/Docs/ToggleCache.doc.info,-lh5-,1437,544,250033
ABBS/Docs/usereditor.doc,-lh5-,4564,2214,250636
ABBS/Docs/usereditor.doc.info,-lh5-,1437,547,252914
ABBS/Doors/DAYS/DAYS.ABBS,-lh5-,5507,1940,253521
ABBS/Doors/DAYS/DAYS.DOC,-lh5-,2344,1158,255520
ABBS/Doors/Node0Config,-lh5-,104,77,256735
ABBS/Doors/Node0Menu,-lh0-,11,11,256867
ABBS/FileHeaders/PRIVATE.fl,-lh0-,0,0,256940
ABBS/FileHeaders/UPLOAD.fl,-lh0-,0,0,257001
ABBS/Files/Private/,-lh0-,0,0,257055
ABBS/Files/Upload/,-lh0-,0,0,257108
ABBS/file_id.diz,-lh5-,504,226,257159
ABBS/Help/FE.guide,-lh5-,20233,5001,257438
ABBS/History,-lh5-,15529,6323,262486
ABBS/Hold/node1/,-lh0-,0,0,268860
ABBS/Hold/node2/,-lh0-,0,0,268911
ABBS/Install ABBS,-lh5-,17493,4716,268963
ABBS/Install ABBS.info,-lh5-,1887,1016,273736
ABBS/installer,-lh5-,109956,60618,274801
ABBS/l/fifo-handler,-lh5-,7336,4301,335473
ABBS/libs/fifo.library,-lh5-,4256,2554,339831
ABBS/libs/xprymodem.library,-lh5-,14432,8209,342447
ABBS/libs/XPRZmodem.library,-lh5-,17752,10333,350718
ABBS/s/cookies,-lh5-,129849,57403,361100
ABBS/s/DITOPCONF.exclude,-lh0-,35,35,418562
ABBS/s/DITOPLOG.exclude,-lh0-,17,17,418655
ABBS/s/DITOPLOG.ratio,-lh5-,970,466,418728
ABBS/s/DITOPWRITERS.exclude,-lh0-,17,17,419256
ABBS/sys/Check,-lh5-,651,231,419322
ABBS/sys/Download.abbs,-lh5-,142,108,419610
ABBS/sys/extract.arc,-lh0-,134,134,419773
ABBS/sys/extract.lha,-lh0-,147,147,419962
ABBS/sys/extract.lzh,-lh0-,147,147,420164
ABBS/sys/extract.zoo.donotuse,-lh5-,195,149,420375
ABBS/sys/login/Clock.abbs,-lh5-,538,135,420584
ABBS/sys/login/Clock1.abbs,-lh5-,4550,1258,420780
ABBS/sys/LoginScript.abbs,-lh5-,2529,945,422098
ABBS/sys/logout.script,-lh0-,42,42,423100
ABBS/sys/LogoutScript.abbs,-lh5-,418,273,423203
ABBS/sys/Newuser.abbs,-lh5-,8124,2314,423532
ABBS/sys/newuser/ansi,-lh5-,404,225,425902
ABBS/sys/newuser/Archives,-lh5-,352,94,426187
ABBS/sys/newuser/color,-lh5-,248,151,426338
ABBS/sys/newuser/expertlevel,-lh5-,140,113,426552
ABBS/sys/newuser/length,-lh5-,83,72,426723
ABBS/sys/newuser/Protocol,-lh5-,351,129,426855
ABBS/sys/newuser/WELCOME,-lh5-,88,70,427043
